File Path,Line Number,Type,Pattern,Severity,Match,Message,Code
resources\js\app.tsx,29,css-property,color,critical, color: '#4B5563',CSS color property uses hard-coded color instead of glass theme,"color: '#4B5563'"
resources\js\Pages\Error.tsx,32,css-property,color,critical, color: 'text-yellow-600',CSS color property uses hard-coded color instead of glass theme,"color: 'text-yellow-600',"
resources\js\Pages\Error.tsx,32,tailwind-class,text,warning,text-yellow-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"color: 'text-yellow-600',"
resources\js\Pages\Error.tsx,33,tailwind-class,background,warning,bg-yellow-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"bgColor: 'bg-yellow-50',"
resources\js\Pages\Error.tsx,34,css-property,color,critical, borderColor: 'border-yellow-200',CSS color property uses hard-coded color instead of glass theme,"borderColor: 'border-yellow-200',"
resources\js\Pages\Error.tsx,34,tailwind-class,border,warning,border-yellow-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"borderColor: 'border-yellow-200',"
resources\js\Pages\Error.tsx,41,css-property,color,critical, color: 'text-red-600',CSS color property uses hard-coded color instead of glass theme,"color: 'text-red-600',"
resources\js\Pages\Error.tsx,41,tailwind-class,text,warning,text-red-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"color: 'text-red-600',"
resources\js\Pages\Error.tsx,42,tailwind-class,background,warning,bg-red-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"bgColor: 'bg-red-50',"
resources\js\Pages\Error.tsx,43,css-property,color,critical, borderColor: 'border-red-200',CSS color property uses hard-coded color instead of glass theme,"borderColor: 'border-red-200',"
resources\js\Pages\Error.tsx,43,tailwind-class,border,warning,border-red-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"borderColor: 'border-red-200',"
resources\js\Pages\Error.tsx,50,css-property,color,critical, color: 'text-red-600',CSS color property uses hard-coded color instead of glass theme,"color: 'text-red-600',"
resources\js\Pages\Error.tsx,50,tailwind-class,text,warning,text-red-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"color: 'text-red-600',"
resources\js\Pages\Error.tsx,51,tailwind-class,background,warning,bg-red-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"bgColor: 'bg-red-50',"
resources\js\Pages\Error.tsx,52,css-property,color,critical, borderColor: 'border-red-200',CSS color property uses hard-coded color instead of glass theme,"borderColor: 'border-red-200',"
resources\js\Pages\Error.tsx,52,tailwind-class,border,warning,border-red-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"borderColor: 'border-red-200',"
resources\js\Pages\Error.tsx,59,css-property,color,critical, color: 'text-gray-600',CSS color property uses hard-coded color instead of glass theme,"color: 'text-gray-600',"
resources\js\Pages\Error.tsx,61,css-property,color,critical, borderColor: 'border-gray-200',CSS color property uses hard-coded color instead of glass theme,"borderColor: 'border-gray-200',"
resources\js\Pages\Error.tsx,68,css-property,color,critical, color: 'text-orange-600',CSS color property uses hard-coded color instead of glass theme,"color: 'text-orange-600',"
resources\js\Pages\Error.tsx,68,tailwind-class,text,warning,text-orange-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"color: 'text-orange-600',"
